OrderID,CustomerID,RestaurantID,OrderDate
75,1,1,13/03/2024
216,1,1,30/07/2024
225,1,1,8/08/2024
273,1,1,25/09/2024
429,1,1,26/02/2025
463,1,1,29/03/2025
108,1,2,15/04/2024
114,1,2,21/04/2024
134,1,2,10/05/2024
145,1,2,21/05/2024
372,1,2,31/12/2024
392,1,2,20/01/2025
395,1,2,23/01/2025
453,1,2,19/03/2025
51,1,3,20/02/2024
62,1,3,31-02-2024
98,1,3,5/04/2024
150,1,3,26/05/2024
192,1,3,6/07/2024
207,1,3,21/07/2024
208,1,3,22/07/2024
5,1,4,5/01/2024
81,1,4,19/03/2024
99,1,4,6/04/2024
125,1,4,1/05/2024
346,1,4,5/12/2024
354,1,4,13/12/2024
402,1,4,30/01/2025
447,1,4,13/03/2025
454,1,4,20/03/2025
70,1,5,8/03/2024
157,1,5,2/06/2024
253,1,5,5/09/2024
255,1,5,7/09/2024
333,1,5,23/11/2024
334,1,5,24/11/2024
389,1,5,17/01/2025
148,1,6,24/05/2024
374,1,6,2/01/2025
477,1,6,12/04/2025
488,1,6,23/04/2025
73,1,7,11/03/2024
190,1,7,4/07/2024
277,1,7,29/09/2024
424,1,7,21/02/2025
165,2,1,10/06/2024
295,2,1,16/10/2024
306,2,1,27/10/2024
483,2,1,18/04/2025
343,2,2,2/12/2024
362,2,2,21/12/2024
12,2,3,12/01/2024
271,2,3,23/09/2024
312,2,3,2/11/2024
428,2,3,25/02/2025
480,2,3,15/04/2025
191,2,4,5/07/2024
344,2,4,3/12/2024
370,2,4,29/12/2024
17,2,5,17/01/2024
29,2,5,29/01/2024
132,2,5,8/05/2024
19,2,6,19/01/2024
163,2,6,8/06/2024
212,2,6,26/07/2024
252,2,6,4/09/2024
332,2,6,22/11/2024
345,2,6,4/12/2024
137,2,7,13/05/2024
147,2,7,23/05/2024
175,2,7,20/06/2024
217,2,7,31/07/2024
244,2,7,27/08/2024
256,2,7,8/09/2024
278,2,7,30/09/2024
299,2,7,20/10/2024
331,2,7,21/11/2024
400,2,7,28/01/2025
385,3,1,13/01/2025
259,3,2,11/09/2024
353,3,2,12/12/2024
378,3,2,6/01/2025
404,3,2,1/02/2025
23,3,3,23/01/2024
77,3,3,15/03/2024
421,3,3,18/02/2025
9,3,4,9/01/2024
352,3,4,11/12/2024
365,3,4,24/12/2024
419,3,4,16/02/2025
53,3,5,22/02/2024
270,3,5,22/09/2024
88,3,6,26/03/2024
348,3,6,7/12/2024
411,3,6,8/02/2025
484,3,6,19/04/2025
487,3,6,22/04/2025
115,3,7,22/04/2024
230,3,7,13/08/2024
366,3,7,25/12/2024
8,4,1,8/01/2024
27,4,1,27/01/2024
314,4,1,4/11/2024
54,4,2,23/02/2024
435,4,2,1/03/2025
97,4,3,4/04/2024
142,4,3,18/05/2024
202,4,3,16/07/2024
211,4,3,25/07/2024
298,4,3,19/10/2024
382,4,3,10/01/2025
387,4,3,15/01/2025
399,4,3,27/01/2025
57,4,4,26/02/2024
78,4,4,16/03/2024
90,4,4,28/03/2024
102,4,4,9/04/2024
151,4,4,27/05/2024
158,4,4,3/06/2024
367,4,4,26/12/2024
209,4,5,23/07/2024
361,4,5,20/12/2024
